ambient,coolant,u_d,u_q,motor_speed,torque,i_d,i_q,pm,stator_yoke,stator_tooth,stator_winding,profile_id
-0.9284386,-1.0947725,0.18946643,1.6726338,2.024119,-0.2663629,-0.86639345,-0.2565612,-2.3592672,-1.7637721,-1.8483243,-1.7580085,4
-0.8989486,-1.0946088,0.1889449,1.6725618,2.0241213,-0.26617593,-0.8663795,-0.25642353,-2.3560243,-1.7629888,-1.8432415,-1.7531918,4
-0.8805088,-1.0944297,0.18996225,1.671755,2.024118,-0.26641694,-0.86589354,-0.2570369,-2.3505478,-1.7611094,-1.8395598,-1.74988,4
-0.86525387,-1.0942959,0.18872562,1.672456,2.0241187,-0.2654014,-0.86550397,-0.25654456,-2.347867,-1.7587113,-1.8367916,-1.7457364,4
-0.85413444,-1.0943103,0.18888359,1.6716344,2.0241182,-0.26597247,-0.8657995,-0.25665173,-2.342477,-1.7563483,-1.834707,-1.7408185,4
-0.8442435,-1.0941325,0.1879016,1.6714777,2.0241191,-0.26612157,-0.86597335,-0.25656596,-2.3424091,-1.7553108,-1.8331735,-1.7364513,4
-0.8546202,-1.093829,0.1886586,1.6717299,2.0241196,-0.26574042,-0.8656312,-0.25664935,-2.339841,-1.7555207,-1.8319048,-1.7333288,4
-0.8756346,-1.0931791,0.18942876,1.6681759,2.0241184,-0.26676327,-0.86644316,-0.25728497,-2.3352332,-1.7550074,-1.8305458,-1.7307674,4
-0.8869619,-1.092784,0.18899187,1.6690878,2.0241153,-0.26720536,-0.8661765,-0.25704038,-2.3315015,-1.7537221,-1.8286954,-1.7288082,4
-0.8921492,-1.0925632,0.18838635,1.671856,2.0241196,-0.26731122,-0.8648399,-0.2564471,-2.3265808,-1.7525522,-1.8267376,-1.7269202,4
-0.8922958,-1.0923872,0.18812522,1.6730494,2.024118,-0.2665635,-0.86438227,-0.2564152,-2.3241274,-1.7513554,-1.8244994,-1.7256255,4
-0.8936338,-1.0925862,0.18922728,1.6725297,2.024119,-0.26759303,-0.8645534,-0.25681013,-2.3231196,-1.7503289,-1.8206602,-1.7249095,4
-0.89577377,-1.0930704,0.18868384,1.671166,2.0241196,-0.2676739,-0.86427367,-0.2568394,-2.3213167,-1.7495573,-1.8159405,-1.7240207,4
-0.8992126,-1.0934496,0.1888048,1.6700287,2.024118,-0.26711804,-0.8648037,-0.25675184,-2.3213246,-1.7488474,-1.8117929,-1.7214345,4
-0.90588045,-1.0937066,0.188325,1.6732187,2.024118,-0.2665606,-0.862996,-0.25646803,-2.3184695,-1.7484002,-1.8086983,-1.7120969,4
-0.91133076,-1.0939459,0.18784384,1.6756078,2.0241172,-0.26647577,-0.86171275,-0.2562438,-2.3164222,-1.7479643,-1.8059256,-1.7030541,4
-0.91111696,-1.093991,0.18741128,1.675683,2.0241158,-0.2659467,-0.8615179,-0.25592014,-2.31175,-1.7475185,-1.8029058,-1.6984196,4
-0.91057295,-1.0937452,0.18851978,1.674254,2.0241163,-0.2663594,-0.8616454,-0.25654945,-2.3083022,-1.7471714,-1.8000914,-1.6932789,4
-0.92408335,-1.0932451,0.1878228,1.6736615,2.0241172,-0.2660292,-0.8616145,-0.25647673,-2.3048747,-1.7469226,-1.7965348,-1.6857294,4
-0.94108576,-1.0927658,0.18758412,1.6735045,2.0241187,-0.26747477,-0.861884,-0.2565046,-2.303665,-1.7467443,-1.7932686,-1.6809596,4
-0.95067054,-1.0925297,0.18854283,1.6742319,2.0241182,-0.26832268,-0.86172336,-0.25666848,-2.3023236,-1.7466385,-1.7892002,-1.676909,4
-0.94860786,-1.0922922,0.1897999,1.6736389,2.0241156,-0.26751986,-0.86190975,-0.2570754,-2.3022785,-1.7465687,-1.7813947,-1.672202,4
-0.941947,-1.0920708,0.18877776,1.6742636,2.0241177,-0.2664444,-0.86138093,-0.25669214,-2.2980127,-1.7464907,-1.7737615,-1.668121,4
