Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Iyi Oyun,Umut Aral,5.4,1004,"
Comedy, Drama, Sport            ",(2018)
Silsile,Ozan Açiktan,6.5,993,"
Crime, Drama, Thriller            ",(2014)
Dönüs,Türkan Soray,7.9,988,"
Drama, Romance            ",(1972)
A Ay,Reha Erdem,7.1,979,"
Drama            ",(1988)
Yangin var,Murat Saraçoglu,6.4,978,"
Comedy, Drama, Romance            ",(2011)
Büsra,Alper Caglar,5.3,974,"
Drama            ",(2010)
Atatürk'ün Fedaisi Topal Osman,Atilla Akarsu,4.3,967,"
Drama, History            ",(2013)
Gelecekten Bir Gün,Bogachan Dündar,5.1,958,"
Comedy, Drama            ",(2010)
Balans ve manevra,Teoman,3.8,956,"
Drama            ",(2005)
Türk Isi Dondurma,Can Ulkay,6.6,952,"
Drama, History, War            ",(2019)
Devlerin Aski,Osman F. Seden,7.4,945,"
Drama, Romance            ",(1976)
Aci Tatli Eksi,Andaç Haznedaroglu,6.1,942,"
Drama, Romance            ",(2017)
